GEO2010,1970,1980,1990,2000,2010,seqC1,seqC2
06037408141,4,4,4,4,6,2,10
06037408140,4,4,4,4,3,2,10
06037407802,9,9,3,3,1,3,5
06037183103,1,1,1,1,1,1,7
06037127805,7,7,1,1,3,3,7
06037127605,1,1,10,10,3,3,7
06037125401,7,7,7,7,7,1,6
06037122122,4,3,4,4,1,5,2
06037120105,1,1,10,10,1,3,7
06037115103,9,1,7,1,3,4,1
06037320202,1,4,4,4,7,3,10
06037980025,9,9,9,3,6,3,5
06037980024,9,1,3,3,6,5,1
06037980023,9,9,9,9,6,2,5
06037980022,9,9,6,3,6,5,1
06037980020,9,3,3,3,6,3,5
06037407801,9,9,3,3,9,3,5
06037407602,4,4,4,4,3,2,10
06037407601,4,4,4,4,3,2,10
06037407502,4,4,4,4,3,2,10
06037407501,4,4,4,4,1,2,10
06037406902,4,9,3,3,3,3,5
06037406901,4,9,3,3,3,3,5
06037701402,7,7,7,7,5,2,6
06037320201,1,4,4,4,6,3,10
06037310602,1,1,1,1,3,2,7
06037310601,1,1,1,1,3,2,7
06037310501,4,1,4,1,7,4,2
06037310202,3,3,1,1,4,3,7
06037310201,3,3,1,1,6,3,7
06037302504,1,1,10,10,1,3,7
06037302503,1,1,10,10,3,3,7
06037302401,1,10,10,1,3,5,9
06037980015,4,9,9,5,6,5,1
06037430902,1,1,1,1,4,2,7
06037430901,1,1,1,1,9,2,7
06037408724,9,9,10,1,3,5,1
06037408723,9,9,10,1,3,5,1
06037408630,9,9,3,3,3,2,5
06037408139,4,4,4,4,3,2,10
06037408138,4,4,4,4,6,2,10
06037701304,7,7,6,6,6,2,3
06037700802,7,7,7,7,9,2,6
06037700801,7,7,7,7,6,2,6
06037700502,7,5,7,7,6,5,2
06037700501,7,5,7,7,6,5,2
06037700101,7,7,7,7,7,1,6
06037670602,6,9,6,6,1,5,4
06037302004,7,7,1,1,1,2,6
06037302003,7,7,1,1,1,2,6
06037301802,7,7,1,1,1,2,6
06037301801,7,7,1,1,6,3,7
06037503106,9,4,4,4,4,2,10
06037503105,9,4,4,4,4,2,10
06037503103,4,4,4,4,4,1,10
06037502801,3,3,3,3,4,2,5
06037502005,3,3,3,3,3,1,5
06037502004,3,3,4,4,3,3,7
06037408137,9,9,9,9,3,2,5
06037408136,9,9,9,9,1,2,5
06037408004,9,9,9,9,3,2,5
06037404503,4,4,4,4,3,2,10
06037402406,4,4,4,4,9,2,10
06037670328,6,9,6,6,7,5,4
06037670326,6,9,6,6,7,5,4
06037670324,6,6,6,6,7,2,3
06037651402,9,9,6,3,7,5,1
06037651401,9,9,6,3,7,5,1
06037651304,1,1,6,6,7,3,3
06037552002,4,4,4,4,1,2,10
06037552001,4,4,4,4,1,2,10
06037502003,3,3,4,4,3,3,7
06037501804,1,1,1,10,3,3,7
06037501803,1,1,1,10,9,3,7
06037104822,4,4,4,4,3,2,10
06037104403,4,4,4,4,3,2,10
06037265202,7,7,7,7,1,2,6
06037264102,7,7,7,7,10,2,6
06037900201,1,3,4,4,9,5,2
06037700102,7,7,7,7,1,2,6
06037920337,9,1,1,1,6,3,7
06037551502,3,3,3,3,3,1,5
06037551501,3,3,3,3,3,1,5
06037551402,9,3,3,3,10,3,5
06037551401,9,3,3,3,10,3,5
06037551102,10,1,10,10,4,5,2
06037551101,1,1,10,10,4,3,7
